image_path,max_area
/home/aviv.salomon/projects/image-background-remove-tool-master/spheroidfigures/B2 B16 ATCC DAY 1.jpg,120540.0
/home/aviv.salomon/projects/image-background-remove-tool-master/spheroidfigures/B3 B16 ATCC DAY 1.jpg,67308.5
/home/aviv.salomon/projects/image-background-remove-tool-master/spheroidfigures/B4 B16 ATCC DAY 1.jpg,87706.5
/home/aviv.salomon/projects/image-background-remove-tool-master/spheroidfigures/B5 B16 ATCC DAY 1.jpg,52858.0
/home/aviv.salomon/projects/image-background-remove-tool-master/spheroidfigures/C2 B16 ATCC DAY 1.jpg,125105.0
/home/aviv.salomon/projects/image-background-remove-tool-master/spheroidfigures/C3 B16 ATCC DAY 1.jpg,61001.5
/home/aviv.salomon/projects/image-background-remove-tool-master/spheroidfigures/C4 B16 ATCC DAY 1.jpg,79243.0
/home/aviv.salomon/projects/image-background-remove-tool-master/spheroidfigures/C5 B16 ATCC DAY 1.jpg,57145.5
/home/aviv.salomon/projects/image-background-remove-tool-master/spheroidfigures/D2 B16 ATCC DAY 1.jpg,120468.5
/home/aviv.salomon/projects/image-background-remove-tool-master/spheroidfigures/D3 B16 ATCC DAY 1.jpg,64851.5
/home/aviv.salomon/projects/image-background-remove-tool-master/spheroidfigures/D4 B16 ATCC DAY 1.jpg,67910.5
/home/aviv.salomon/projects/image-background-remove-tool-master/spheroidfigures/D5 B16 ATCC DAY 1.jpg,52555.5
